date,liturgicalDay,readingOrder,kind,title,displayReference,response,choiceGroup,choiceLabel,rangeOrder,bookCode,chapter,startVerse,endVerse,displayVerseOffset
2027-01-01,"Mary, Mother of God",1,firstReading,First Reading,Numbers 6:22–27,,,,1,NUM,6,22,27,0
2027-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,1,PSA,67,1,2,1
2027-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,2,PSA,67,4,4,1
2027-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,3,PSA,67,5,5,1
2027-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,4,PSA,67,7,7,1
2027-01-01,"Mary, Mother of God",3,secondReading,Second Reading,Galatians 4:4–7,,,,1,GAL,4,4,7,0
2027-01-01,"Mary, Mother of God",4,gospel,Gospel,Luke 2:16–21,,,,1,LUK,2,16,21,0
2027-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",1,firstReading,First Reading,1 John 2:22–28,,,,1,1JN,2,22,28,0
2027-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,1,PSA,98,1,1,0
2027-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,2,PSA,98,2,3,0
2027-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,3,PSA,98,3,4,0
2027-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",3,gospel,Gospel,John 1:19–28,,,,1,JHN,1,19,28,0
2027-01-03,Epiphany,1,firstReading,First Reading,Isaiah 60:1–6,,,,1,ISA,60,1,6,0
2027-01-03,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,1,PSA,72,1,2,0
2027-01-03,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,2,PSA,72,7,8,0
2027-01-03,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,3,PSA,72,10,11,0
2027-01-03,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,4,PSA,72,12,13,0
2027-01-03,Epiphany,3,secondReading,Second Reading,"Ephesians 3:2–3a, 5–6",,,,1,EPH,3,2,3,0
2027-01-03,Epiphany,3,secondReading,Second Reading,"Ephesians 3:2–3a, 5–6",,,,2,EPH,3,5,6,0
2027-01-03,Epiphany,4,gospel,Gospel,Matthew 2:1–12,,,,1,MAT,2,1,12,0
2027-01-04,Monday after Epiphany,1,firstReading,First Reading,1 John 3:22–4:6,,,,1,1JN,3,22,24,0
2027-01-04,Monday after Epiphany,1,firstReading,First Reading,1 John 3:22–4:6,,,,2,1JN,4,1,6,0
2027-01-04,Monday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 2:7bc-8, 10–12a",,,,1,PSA,2,7,8,0
2027-01-04,Monday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 2:7bc-8, 10–12a",,,,2,PSA,2,10,12,0
2027-01-04,Monday after Epiphany,3,gospel,Gospel,"Matthew 4:12–17, 23–25",,,,1,MAT,4,12,17,0
2027-01-04,Monday after Epiphany,3,gospel,Gospel,"Matthew 4:12–17, 23–25",,,,2,MAT,4,23,25,0
2027-01-05,Tuesday after Epiphany,1,firstReading,First Reading,1 John 4:7–10,,,,1,1JN,4,7,10,0
2027-01-05,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,1,PSA,72,1,2,0
2027-01-05,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,2,PSA,72,3,4,0
2027-01-05,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,3,PSA,72,7,8,0
2027-01-05,Tuesday after Epiphany,3,gospel,Gospel,Mark 6:34–44,,,,1,MRK,6,34,44,0
2027-01-06,Wednesday after Epiphany,1,firstReading,First Reading,1 John 4:11–18,,,,1,1JN,4,11,18,0
2027-01-06,Wednesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,1,PSA,72,1,2,0
2027-01-06,Wednesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,2,PSA,72,10,10,0
2027-01-06,Wednesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,3,PSA,72,12,13,0
2027-01-06,Wednesday after Epiphany,3,gospel,Gospel,Mark 6:45–52,,,,1,MRK,6,45,52,0
2027-01-07,"Saint Raymond of Penyafort, Priest",1,firstReading,First Reading,1 John 4:19–5:4,,,,1,1JN,4,19,21,0
2027-01-07,"Saint Raymond of Penyafort, Priest",1,firstReading,First Reading,1 John 4:19–5:4,,,,2,1JN,5,1,4,0
2027-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,1,PSA,72,1,2,0
2027-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,2,PSA,72,14,14,0
2027-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,3,PSA,72,15,15,0
2027-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,4,PSA,72,17,17,0
2027-01-07,"Saint Raymond of Penyafort, Priest",3,gospel,Gospel,Luke 4:14–22,,,,1,LUK,4,14,22,0
2027-01-08,Friday after Epiphany,1,firstReading,First Reading,1 John 5:5–13,,,,1,1JN,5,5,13,0
2027-01-08,Friday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 147:12–13, 14–15, 19–20",,,,1,PSA,147,12,13,0
2027-01-08,Friday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 147:12–13, 14–15, 19–20",,,,2,PSA,147,14,15,0
2027-01-08,Friday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 147:12–13, 14–15, 19–20",,,,3,PSA,147,19,20,0
2027-01-08,Friday after Epiphany,3,gospel,Gospel,Luke 5:12–16,,,,1,LUK,5,12,16,0
2027-01-09,Saturday after Epiphany,1,firstReading,First Reading,1 John 5:14–21,,,,1,1JN,5,14,21,0
2027-01-09,Saturday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 149:1–2, 3–4, 5–6a and 9b",,,,1,PSA,149,1,2,0
2027-01-09,Saturday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 149:1–2, 3–4, 5–6a and 9b",,,,2,PSA,149,3,4,0
2027-01-09,Saturday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 149:1–2, 3–4, 5–6a and 9b",,,,3,PSA,149,5,6,0
2027-01-09,Saturday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 149:1–2, 3–4, 5–6a and 9b",,,,4,PSA,149,9,9,0
2027-01-09,Saturday after Epiphany,3,gospel,Gospel,John 3:22–30,,,,1,JHN,3,22,30,0
2027-01-10,Baptism of the Lord,1,firstReading,First Reading,"Isaiah 42:1–4, 6–7",,,,1,ISA,42,1,4,0
2027-01-10,Baptism of the Lord,1,firstReading,First Reading,"Isaiah 42:1–4, 6–7",,,,2,ISA,42,6,7,0
2027-01-10,Baptism of the Lord,2,responsorialPsalm,Responsorial Psalm,"Psalm 29:1–2, 3–4, 3, 9–10",,,,1,PSA,29,1,2,0
2027-01-10,Baptism of the Lord,2,responsorialPsalm,Responsorial Psalm,"Psalm 29:1–2, 3–4, 3, 9–10",,,,2,PSA,29,3,4,0
2027-01-10,Baptism of the Lord,2,responsorialPsalm,Responsorial Psalm,"Psalm 29:1–2, 3–4, 3, 9–10",,,,3,PSA,29,3,3,0
2027-01-10,Baptism of the Lord,2,responsorialPsalm,Responsorial Psalm,"Psalm 29:1–2, 3–4, 3, 9–10",,,,4,PSA,29,9,10,0
2027-01-10,Baptism of the Lord,3,secondReading,Second Reading,Acts 10:34–38,,,,1,ACT,10,34,38,0
2027-01-10,Baptism of the Lord,4,gospel,Gospel,Mark 1:7–11,,,,1,MRK,1,7,11,0
2027-01-11,Monday of the 1st week of Ordinary Time,1,firstReading,First Reading,Hebrews 1:1–6,,,,1,HEB,1,1,6,0
2027-01-11,Monday of the 1st week of Ordinary Time,2,responsorialPsalm,Responsorial Psalm,"Psalm 97:1 and 2b, 6 and 7c, 9",,,,1,PSA,97,1,1,0
2027-01-11,Monday of the 1st week of Ordinary Time,2,responsorialPsalm,Responsorial Psalm,"Psalm 97:1 and 2b, 6 and 7c, 9",,,,2,PSA,97,2,2,0
2027-01-11,Monday of the 1st week of Ordinary Time,2,responsorialPsalm,Responsorial Psalm,"Psalm 97:1 and 2b, 6 and 7c, 9",,,,3,PSA,97,6,6,0
2027-01-11,Monday of the 1st week of Ordinary Time,2,responsorialPsalm,Responsorial Psalm,"Psalm 97:1 and 2b, 6 and 7c, 9",,,,4,PSA,97,7,7,0
2027-01-11,Monday of the 1st week of Ordinary Time,2,responsorialPsalm,Responsorial Psalm,"Psalm 97:1 and 2b, 6 and 7c, 9",,,,5,PSA,97,9,9,0
2027-01-11,Monday of the 1st week of Ordinary Time,3,gospel,Gospel,Mark 1:14–20,,,,1,MRK,1,14,20,0
